"eventName","cabangOlahraga","lokasiLengkap","tahun"
"Vuelta a San Juan","Race stage","Argentina, San Juan Province, Argentina",2003
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2003
"Alpes Isère Tour","Race stage","Rhône-Alpes",2004
"Australia World Cup","Classic cycle races","Australia, Canberra, Geelong, Snowy Mountains, Sydney",2004
"Bayern Rundfahrt","Race stage","Bavaria",2004
"Bałtyk–Karkonosze Tour","Race stage","Poland",2004
"Chrono des Nations","Individual time trial","Vendée",2004
"Circuit de Wallonie","Classic cycle races","Wallonia",2004
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2004
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2004
"Draai van de Kaai","Criterium","Netherlands, Roosendaal",2004
"Five Rings of Moscow","Race stage","Moscow, Russia",2004
"HTV Cup (cycling)","Race stage","Vietnam",2004
"Herald Sun Tour","Race stage","Victoria (state)",2004
"Japan Cup (cycling)","Classic cycle races","Japan",2004
"Jelajah Malaysia","Race stage","Peninsular Malaysia",2004
"Joe Martin Stage Race","Race stage","Fayetteville, Arkansas",2004
"Kreiz Breizh Elites","Race stage","Brittany, France",2004
"Memorial Grundmanna I Wizowskiego","Classic cycle races","Poland",2004
"Memoriał Romana Siemińskiego","Classic cycle races","Masovian Voivodeship, Poland",2004
"Okolo Slovenska","Race stage","Slovakia",2004
"Presidential Cycling Tour of Turkey","Race stage","Turkey",2004
"Ronde de l'Oise","Race stage","Oise",2004
"Rutas de América","Race stage","Uruguay",2004
"Settimana Internazionale di Coppi e Bartali","Race stage","Emilia-Romagna",2004
"Szlakiem Grodów Piastowskich","Race stage","Lower Silesian Voivodeship",2004
"Szlakiem Walk Majora Hubala","Classic cycle races, Race stage","Poland",2004
"Tour Alsace","Race stage","Alsace, France",2004
"Tour de Hokkaido","Race stage","Hokkaido, Japan",2004
"Tour de Hongrie","Race stage","Hungary",2004
"Tour de Indonesia","Race stage","Indonesia, Java",2004
"Tour de Korea","Race stage","South Korea",2004
"Tour de Langkawi","Race stage","Peninsular Malaysia",2004
"Tour de Okinawa","Classic cycle races","Japan, Okinawa Prefecture",2004
"Tour de Pologne","Race stage","Poland",2004
"Tour de Pologne Women","Race stage","Poland",2004
"Tour de Romandie","Major one week stage races (cycling)","Romandy",2004
"Tour de Serbie","Race stage","Serbia",2004
"Tour de Taiwan","Race stage","Taiwan",2004
"Tour des Alpes-Maritimes","Race stage","Provence-Alpes-Côte d'Azur, Var (department)",2004
"Tour du Cameroun","Race stage","Cameroon",2004
"Tour du Grand Montréal","Race stage","Canada, Montreal",2004
"Tour du Jura (France)","Classic cycle races, Race stage","France",2004
"Tour du Mali","Race stage","Mali",2004
"Tour du Sénégal","Race stage","Senegal",2004
"Tour of Austria","Race stage","Austria",2004
"Tour of Belgium","Race stage","Belgium",2004
"Tour of Belize","Race stage","Belize",2004
"Tour of Bulgaria","Race stage","Bulgaria",2004
"Tour of China","Race stage","China",2004
"Tour of Galicia","Race stage","Galicia (Spain)",2004
"Tour of Małopolska","Race stage","Lesser Poland Voivodeship, Poland",2004
"Tour of Qatar","Race stage","Qatar",2004
"Tour of Qinghai Lake","Race stage","China, Qinghai",2004
"Tour of Romania","Race stage","Romania",2004
"Tour of South China Sea","Classic cycle races","Guangdong",2004
"Tour of the Alps","Race stage","Tyrol–South Tyrol–Trentino Euroregion",2004
"Tour of the Basque Country","Major one week stage races (cycling)","Basque Country (autonomous community)",2004
"Trofeo Edil C","Classic cycle races","Italy, Province of Parma",2004
"Van Merksteijn Fences Classic","Classic cycle races","Belgium, Zwevegem",2004
"Volta a Catalunya","Major one week stage races (cycling)","Catalonia",2004
"Volta a la Comunitat Valenciana","Race stage","Valencian Community",2004
"Vuelta a Aragón","Race stage","Aragon",2004
"Vuelta a Navarra","Race stage","Navarre",2004
"Vuelta a San Juan","Race stage","Argentina, San Juan Province, Argentina",2004
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2004
"Alpes Isère Tour","Race stage","Rhône-Alpes",2005
"Australia World Cup","Classic cycle races","Australia, Canberra, Geelong, Snowy Mountains, Sydney",2005
"Bayern Rundfahrt","Race stage","Bavaria",2005
"Bałtyk–Karkonosze Tour","Race stage","Poland",2005
"Boucle du Coton","Race stage","Burkina Faso",2005
"Chrono des Nations","Individual time trial","Vendée",2005
"Circuit de Wallonie","Classic cycle races","Wallonia",2005
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2005
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2005
"Draai van de Kaai","Criterium","Netherlands, Roosendaal",2005
"Five Rings of Moscow","Race stage","Moscow, Russia",2005
"Grand Prix of Sochi","Race stage","Sochi",2005
"HTV Cup (cycling)","Race stage","Vietnam",2005
"Herald Sun Tour","Race stage","Victoria (state)",2005
"Japan Cup (cycling)","Classic cycle races","Japan",2005
"Joe Martin Stage Race","Race stage","Fayetteville, Arkansas",2005
"Kreiz Breizh Elites","Race stage","Brittany, France",2005
"Memorial Grundmanna I Wizowskiego","Classic cycle races","Poland",2005
"Memoriał Romana Siemińskiego","Classic cycle races","Masovian Voivodeship, Poland",2005
