"eventName","cabangOlahraga","lokasiLengkap","tahun"
"Grand Prix of Sochi","Race stage","Sochi",2013
"HTV Cup (cycling)","Race stage","Vietnam",2013
"Herald Sun Tour","Race stage","Victoria (state)",2013
"Japan Cup (cycling)","Classic cycle races","Japan",2013
"Jelajah Malaysia","Race stage","Peninsular Malaysia",2013
"Joe Martin Stage Race","Race stage","Fayetteville, Arkansas",2013
"Jūrmala Grand Prix","Classic cycle races","Jūrmala, Latvia",2013
"Kreiz Breizh Elites","Race stage","Brittany, France",2013
"Melaka Governor's Cup","Classic cycle races","Peninsular Malaysia",2013
"Memorial Grundmanna I Wizowskiego","Classic cycle races","Poland",2013
"Memoriał Romana Siemińskiego","Classic cycle races","Masovian Voivodeship, Poland",2013
"Midden–Brabant Poort Omloop","Classic cycle races","Gilze en Rijen, Netherlands",2013
"Mzansi Tour","Race stage","South Africa",2013
"Oberösterreich Rundfahrt","Race stage","Upper Austria",2013
"Okolo Jižních Čech","Race stage","Czech Republic",2013
"Okolo Slovenska","Race stage","Slovakia",2013
"Presidential Cycling Tour of Turkey","Race stage","Turkey",2013
"Riga Grand Prix","Classic cycle races","Latvia, Riga",2013
"Ronda Pilipinas","Race stage","Philippines",2013
"Ronde de l'Oise","Race stage","Oise",2013
"Rutas de América","Race stage","Uruguay",2013
"Settimana Internazionale di Coppi e Bartali","Race stage","Emilia-Romagna",2013
"Szlakiem Grodów Piastowskich","Race stage","Lower Silesian Voivodeship",2013
"TD Bank Mayor's Cup","Criterium","New England",2013
"Tour Alsace","Race stage","Alsace, France",2013
"Tour de East Java","Race stage","East Java, Indonesia",2013
"Tour de Hokkaido","Race stage","Hokkaido, Japan",2013
"Tour de Korea","Race stage","South Korea",2013
"Tour de Kumano","Race stage","Japan, Kumano, Mie, Shingū, Wakayama, Taiji, Wakayama",2013
"Tour de Langkawi","Race stage","Peninsular Malaysia",2013
"Tour de Okinawa","Classic cycle races","Japan, Okinawa Prefecture",2013
"Tour de Pologne","Race stage","Poland",2013
"Tour de Romandie","Major one week stage races (cycling)","Romandy",2013
"Tour de Serbie","Race stage","Serbia",2013
"Tour de Singkarak","Race stage","Indonesia, West Sumatra",2013
"Tour de Taiwan","Race stage","Taiwan",2013
"Tour des Alpes-Maritimes","Race stage","Provence-Alpes-Côte d'Azur, Var (department)",2013
"Tour du Gévaudan Occitanie","Race stage","Languedoc-Roussillon",2013
"Tour du Jura (France)","Classic cycle races, Race stage","France",2013
"Tour of Austria","Race stage","Austria",2013
"Tour of Beijing","Race stage","Beijing",2013
"Tour of Belgium","Race stage","Belgium",2013
"Tour of Bulgaria","Race stage","Bulgaria",2013
"Tour of China","Race stage","China",2013
"Tour of Elk Grove","Race stage","Elk Grove Village, Illinois, United States",2013
"Tour of Galicia","Race stage","Galicia (Spain)",2013
"Tour of Hainan","Race stage","China, Hainan",2013
"Tour of Małopolska","Race stage","Lesser Poland Voivodeship, Poland",2013
"Tour of Oman","Race stage","Oman",2013
"Tour of Qatar","Race stage","Qatar",2013
"Tour of Qinghai Lake","Race stage","China, Qinghai",2013
"Tour of Romania","Race stage","Romania",2013
"Tour of Szeklerland","Race stage","Romania, Székely Land",2013
"Tour of the Alps","Race stage","Tyrol–South Tyrol–Trentino Euroregion",2013
"Tour of the Basque Country","Major one week stage races (cycling)","Basque Country (autonomous community)",2013
"Trofeo Edil C","Classic cycle races","Italy, Province of Parma",2013
"Van Merksteijn Fences Classic","Classic cycle races","Belgium, Zwevegem",2013
"Volta Feminina da República","Race stage","Brazil",2013
"Volta a Catalunya","Major one week stage races (cycling)","Catalonia",2013
"Vuelta a Navarra","Race stage","Navarre",2013
"Vuelta a San Juan","Race stage","Argentina, San Juan Province, Argentina",2013
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2013
"Alpes Isère Tour","Race stage","Rhône-Alpes",2014
"Arctic Race of Norway","Race stage","Norway",2014
"Baloise Ladies Tour","Race stage","Netherlands",2014
"Baltic Chain Tour","Race stage","Northern Europe",2014
"Bayern Rundfahrt","Race stage","Bavaria",2014
"Bałtyk–Karkonosze Tour","Race stage","Poland",2014
"Chrono des Nations","Individual time trial","Vendée",2014
"Circuit d'Alger","Race stage","Algeria",2014
"Circuit de Wallonie","Classic cycle races","Wallonia",2014
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2014
"Czech Tour","Race stage","Czech Republic",2014
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2014
"Draai van de Kaai","Criterium","Netherlands, Roosendaal",2014
"Dubai Tour","Race stage","Dubai",2014
"Dwars door de Vlaamse Ardennen","Classic cycle races","East Flanders",2014
"Five Rings of Moscow","Race stage","Moscow, Russia",2014
"GP Viborg","Classic cycle races","Viborg Municipality",2014
"Giro do Interior de São Paulo","Race stage","São Paulo (state)",2014
"Grand Prix Cycliste de Québec","Classic cycle races","Quebec, Quebec City",2014
"Grand Prix Cycliste de Saguenay","Race stage","Quebec",2014
"Grand Prix of Adygeya","Race stage","Adygea",2014
"Grand Prix of Sochi","Race stage","Sochi",2014
"HTV Cup (cycling)","Race stage","Vietnam",2014
"Herald Sun Tour","Race stage","Victoria (state)",2014
"Japan Cup (cycling)","Classic cycle races","Japan",2014
"Jelajah Malaysia","Race stage","Peninsular Malaysia",2014
"Joe Martin Stage Race","Race stage","Fayetteville, Arkansas",2014
"Kreiz Breizh Elites","Race stage","Brittany, France",2014
"Melaka Governor's Cup","Classic cycle races","Peninsular Malaysia",2014
"Memorial Grundmanna I Wizowskiego","Classic cycle races","Poland",2014
"Memoriał Romana Siemińskiego","Classic cycle races","Masovian Voivodeship, Poland",2014
"Midden–Brabant Poort Omloop","Classic cycle races","Gilze en Rijen, Netherlands",2014
"Mzansi Tour","Race stage","South Africa",2014
"Oberösterreich Rundfahrt","Race stage","Upper Austria",2014
"Okolo Jižních Čech","Race stage","Czech Republic",2014
"Okolo Slovenska","Race stage","Slovakia",2014
"Presidential Cycling Tour of Turkey","Race stage","Turkey",2014
"Ronda Pilipinas","Race stage","Philippines",2014
"Ronde de l'Oise","Race stage","Oise",2014
"Rutas de América","Race stage","Uruguay",2014
"Settimana Internazionale di Coppi e Bartali","Race stage","Emilia-Romagna",2014
"Szlakiem Grodów Piastowskich","Race stage","Lower Silesian Voivodeship",2014
"TD Bank Mayor's Cup","Criterium","New England",2014
"Tour Alsace","Race stage","Alsace, France",2014
"Tour International de Sétif","Race stage","Sétif Province",2014
"Tour de East Java","Race stage","East Java, Indonesia",2014
"Tour de Hokkaido","Race stage","Hokkaido, Japan",2014
"Tour de Korea","Race stage","South Korea",2014
"Tour de Kumano","Race stage","Japan, Kumano, Mie, Shingū, Wakayama, Taiji, Wakayama",2014
"Tour de Langkawi","Race stage","Peninsular Malaysia",2014
"Tour de Okinawa","Classic cycle races","Japan, Okinawa Prefecture",2014
"Tour de Pologne","Race stage","Poland",2014
"Tour de Romandie","Major one week stage races (cycling)","Romandy",2014
"Tour de Serbie","Race stage","Serbia",2014
"Tour de Singkarak","Race stage","Indonesia, West Sumatra",2014
"Tour de Taiwan","Race stage","Taiwan",2014
"Tour des Alpes-Maritimes","Race stage","Provence-Alpes-Côte d'Azur, Var (department)",2014
"Tour du Cameroun","Race stage","Cameroon",2014
"Tour du Gévaudan Occitanie","Race stage","Languedoc-Roussillon",2014
"Tour du Jura (France)","Classic cycle races, Race stage","France",2014
"Tour of Austria","Race stage","Austria",2014
"Tour of Beijing","Race stage","Beijing",2014
"Tour of Belgium","Race stage","Belgium",2014
"Tour of Britain Women","Race stage","Great Britain",2014
"Tour of China","Race stage","China",2014
"Tour of Galicia","Race stage","Galicia (Spain)",2014
"Tour of Hainan","Race stage","China, Hainan",2014
"Tour of Kavkaz","Race stage","Caucasus, Russia",2014
"Tour of Małopolska","Race stage","Lesser Poland Voivodeship, Poland",2014
"Tour of Oman","Race stage","Oman",2014
"Tour of Qatar","Race stage","Qatar",2014
"Tour of Qinghai Lake","Race stage","China, Qinghai",2014
"Tour of Szeklerland","Race stage","Romania, Székely Land",2014
"Tour of the Alps","Race stage","Tyrol–South Tyrol–Trentino Euroregion",2014
"Tour of the Basque Country","Major one week stage races (cycling)","Basque Country (autonomous community)",2014
"Trofeo Edil C","Classic cycle races","Italy, Province of Parma",2014
"Van Merksteijn Fences Classic","Classic cycle races","Belgium, Zwevegem",2014
"Volta Feminina da República","Race stage","Brazil",2014
"Volta a Catalunya","Major one week stage races (cycling)","Catalonia",2014
"Vuelta a Navarra","Race stage","Navarre",2014
"Vuelta a San Juan","Race stage","Argentina, San Juan Province, Argentina",2014
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2014
"Vuelta del Paraguay","Race stage","Paraguay",2014
"Alpes Isère Tour","Race stage","Rhône-Alpes",2015
"Arctic Race of Norway","Race stage","Norway",2015
"Baloise Ladies Tour","Race stage","Netherlands",2015
"Baltic Chain Tour","Race stage","Northern Europe",2015
"Bayern Rundfahrt","Race stage","Bavaria",2015
"Bałtyk–Karkonosze Tour","Race stage","Poland",2015
"Black Sea Cycling Tour","Race stage","Bulgaria",2015
"Chrono des Nations","Individual time trial","Vendée",2015
"Circuit d'Alger","Race stage","Algeria",2015
"Circuit de Wallonie","Classic cycle races","Wallonia",2015
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2015
"Czech Tour","Race stage","Czech Republic",2015
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2015
"Draai van de Kaai","Criterium","Netherlands, Roosendaal",2015
"Dubai Tour","Race stage","Dubai",2015
"Dwars door de Vlaamse Ardennen","Classic cycle races","East Flanders",2015
"East Bohemia Tour","Race stage","Czech Republic",2015
"Five Rings of Moscow","Race stage","Moscow, Russia",2015
"GP Viborg","Classic cycle races","Viborg Municipality",2015
"Grand Prix Cycliste de Québec","Classic cycle races","Quebec, Quebec City",2015
"Grand Prix Cycliste de Saguenay","Race stage","Quebec",2015
"Grand Prix of Adygeya","Race stage","Adygea",2015
"Grand Prix of Sochi","Race stage","Sochi",2015
"HTV Cup (cycling)","Race stage","Vietnam",2015
"Herald Sun Tour","Race stage","Victoria (state)",2015
"Japan Cup (cycling)","Classic cycle races","Japan",2015
"Jelajah Malaysia","Race stage","Peninsular Malaysia",2015
"Joe Martin Stage Race","Race stage","Fayetteville, Arkansas",2015
"Kreiz Breizh Elites","Race stage","Brittany, France",2015
"Memorial Grundmanna I Wizowskiego","Classic cycle races","Poland",2015
"Memoriał Romana Siemińskiego","Classic cycle races","Masovian Voivodeship, Poland",2015
"Midden–Brabant Poort Omloop","Classic cycle races","Gilze en Rijen, Netherlands",2015
"Oberösterreich Rundfahrt","Race stage","Upper Austria",2015
"Okolo Jižních Čech","Race stage","Czech Republic",2015
"Okolo Slovenska","Race stage","Slovakia",2015
"Podlasie Tour","Race stage","Podlachia, Poland",2015
"Presidential Cycling Tour of Turkey","Race stage","Turkey",2015
"Ronda Pilipinas","Race stage","Philippines",2015
"Ronde de l'Oise","Race stage","Oise",2015
"Rutas de América","Race stage","Uruguay",2015
"Settimana Internazionale di Coppi e Bartali","Race stage","Emilia-Romagna",2015
"Szlakiem Grodów Piastowskich","Race stage","Lower Silesian Voivodeship",2015
"TD Bank Mayor's Cup","Criterium","New England",2015
"Tour Alsace","Race stage","Alsace, France",2015
"Tour International de Sétif","Race stage","Sétif Province",2015
"Tour de Hokkaido","Race stage","Hokkaido, Japan",2015
"Tour de Hongrie","Race stage","Hungary",2015
"Tour de Kalinga","Cycling","Bhubaneswar, India, Odisha",2015
"Tour de Korea","Race stage","South Korea",2015
"Tour de Kumano","Race stage","Japan, Kumano, Mie, Shingū, Wakayama, Taiji, Wakayama",2015
"Tour de Langkawi","Race stage","Peninsular Malaysia",2015
"Tour de Okinawa","Classic cycle races","Japan, Okinawa Prefecture",2015
"Tour de Pologne","Race stage","Poland",2015
"Tour de Romandie","Major one week stage races (cycling)","Romandy",2015
"Tour de Serbie","Race stage","Serbia",2015
"Tour de Singkarak","Race stage","Indonesia, West Sumatra",2015
"Tour de Taiwan","Race stage","Taiwan",2015
"Tour de Yorkshire","Race stage","Yorkshire",2015
"Tour des Alpes-Maritimes","Race stage","Provence-Alpes-Côte d'Azur, Var (department)",2015
"Tour du Cameroun","Race stage","Cameroon",2015
"Tour du Gévaudan Occitanie","Race stage","Languedoc-Roussillon",2015
"Tour du Jura (France)","Classic cycle races, Race stage","France",2015
"Tour du Sénégal","Race stage","Senegal",2015
"Tour of Austria","Race stage","Austria",2015
"Tour of Belgium","Race stage","Belgium",2015
"Tour of Britain Women","Race stage","Great Britain",2015
"Tour of Bulgaria","Race stage","Bulgaria",2015
"Tour of China","Race stage","China",2015
"Tour of Galicia","Race stage","Galicia (Spain)",2015
"Tour of Hainan","Race stage","China, Hainan",2015
"Tour of Małopolska","Race stage","Lesser Poland Voivodeship, Poland",2015
"Tour of Oman","Race stage","Oman",2015
"Tour of Qatar","Race stage","Qatar",2015
"Tour of Qinghai Lake","Race stage","China, Qinghai",2015
"Tour of Szeklerland","Race stage","Romania, Székely Land",2015
"Tour of the Alps","Race stage","Tyrol–South Tyrol–Trentino Euroregion",2015
"Tour of the Basque Country","Major one week stage races (cycling)","Basque Country (autonomous community)",2015
"Tour of Çanakkale","Race stage","Turkey, Çanakkale Province",2015
"Trofeo Edil C","Classic cycle races","Italy, Province of Parma",2015
"Van Merksteijn Fences Classic","Classic cycle races","Belgium, Zwevegem",2015
"Volta Feminina da República","Race stage","Brazil",2015
"Volta a Catalunya","Major one week stage races (cycling)","Catalonia",2015
"Vuelta a Navarra","Race stage","Navarre",2015
"Vuelta a San Juan","Race stage","Argentina, San Juan Province, Argentina",2015
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2015
"Adana MTB Cup","Race stage","Adana, Turkey",2016
"Alpes Isère Tour","Race stage","Rhône-Alpes",2016
"Arctic Race of Norway","Race stage","Norway",2016
"Balkan Elite Road Classics","Classic cycle races","Albania",2016
"Baloise Ladies Tour","Race stage","Netherlands",2016
"Baltic Chain Tour","Race stage","Northern Europe",2016
"Bałtyk–Karkonosze Tour","Race stage","Poland",2016
"Chrono des Nations","Individual time trial","Vendée",2016
"Circuit d'Alger","Race stage","Algeria",2016
"Circuit de Wallonie","Classic cycle races","Wallonia",2016
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2016
"Czech Tour","Race stage","Czech Republic",2016
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2016
"Draai van de Kaai","Criterium","Netherlands, Roosendaal",2016
"Dubai Tour","Race stage","Dubai",2016
"Dwars door de Vlaamse Ardennen","Classic cycle races","East Flanders",2016
"Dwars door het Hageland","Classic cycle races","Flemish Brabant",2016
"East Bohemia Tour","Race stage","Czech Republic",2016
"GP Viborg","Classic cycle races","Viborg Municipality",2016
"Gran Premio de San José","Classic cycle races","Costa Rica",2016
"Grand Prix Albert Fauville-Baulet","Classic cycle races","Belgium, Hainaut Province",2016
"Grand Prix Cycliste de Québec","Classic cycle races","Quebec, Quebec City",2016
"Grand Prix Cycliste de Saguenay","Race stage","Quebec",2016
"Gravel and Tar Classic","Classic cycle races","Manawatū-Whanganui, Manawatū–Whanganui",2016
"HTV Cup (cycling)","Race stage","Vietnam",2016
"Herald Sun Tour","Race stage","Victoria (state)",2016
"Japan Cup (cycling)","Classic cycle races","Japan",2016
"Jelajah Malaysia","Race stage","Peninsular Malaysia",2016
"Joe Martin Stage Race","Race stage","Fayetteville, Arkansas",2016
"Kreiz Breizh Elites","Race stage","Brittany, France",2016
"Memorial Grundmanna I Wizowskiego","Classic cycle races","Poland",2016
"Memoriał Romana Siemińskiego","Classic cycle races","Masovian Voivodeship, Poland",2016
"Midden–Brabant Poort Omloop","Classic cycle races","Gilze en Rijen, Netherlands",2016
"Oberösterreich Rundfahrt","Race stage","Upper Austria",2016
"Okolo Slovenska","Race stage","Slovakia",2016
"Presidential Cycling Tour of Turkey","Race stage","Turkey",2016
"Ronda Pilipinas","Race stage","Philippines",2016
"Ronde de l'Oise","Race stage","Oise",2016
"Rutas de América","Race stage","Uruguay",2016
"Settimana Internazionale di Coppi e Bartali","Race stage","Emilia-Romagna",2016
"Szlakiem Grodów Piastowskich","Race stage","Lower Silesian Voivodeship",2016
"Szlakiem Walk Majora Hubala","Classic cycle races, Race stage","Poland",2016
"TD Bank Mayor's Cup","Criterium","New England",2016
"Tour Alsace","Race stage","Alsace, France",2016
"Tour International de Sétif","Race stage","Sétif Province",2016
"Tour de Hokkaido","Race stage","Hokkaido, Japan",2016
"Tour de Hongrie","Race stage","Hungary",2016
"Tour de Korea","Race stage","South Korea",2016
"Tour de Kumano","Race stage","Japan, Kumano, Mie, Shingū, Wakayama, Taiji, Wakayama",2016
"Tour de Langkawi","Race stage","Peninsular Malaysia",2016
"Tour de Okinawa","Classic cycle races","Japan, Okinawa Prefecture",2016
"Tour de Pologne","Race stage","Poland",2016
"Tour de Pologne Women","Race stage","Poland",2016
"Tour de Romandie","Major one week stage races (cycling)","Romandy",2016
"Tour de Serbie","Race stage","Serbia",2016
"Tour de Singkarak","Race stage","Indonesia, West Sumatra",2016
"Tour de Taiwan","Race stage","Taiwan",2016
"Tour de Yorkshire","Race stage","Yorkshire",2016
"Tour des Alpes-Maritimes","Race stage","Provence-Alpes-Côte d'Azur, Var (department)",2016
"Tour du Cameroun","Race stage","Cameroon",2016
"Tour du Jura (France)","Classic cycle races, Race stage","France",2016
"Tour du Sénégal","Race stage","Senegal",2016
"Tour of Austria","Race stage","Austria",2016
"Tour of Belgium","Race stage","Belgium",2016
"Tour of Britain Women","Race stage","Great Britain",2016
"Tour of Bulgaria","Race stage","Bulgaria",2016
"Tour of China","Race stage","China",2016
"Tour of Galicia","Race stage","Galicia (Spain)",2016
"Tour of Hainan","Race stage","China, Hainan",2016
"Tour of Małopolska","Race stage","Lesser Poland Voivodeship, Poland",2016
"Tour of Oman","Race stage","Oman",2016
"Tour of Qatar","Race stage","Qatar",2016
"Tour of Qinghai Lake","Race stage","China, Qinghai",2016
"Tour of Szeklerland","Race stage","Romania, Székely Land",2016
"Tour of Ukraine","Race stage","Ukraine",2016
"Tour of the Alps","Race stage","Tyrol–South Tyrol–Trentino Euroregion",2016
"Tour of the Basque Country","Major one week stage races (cycling)","Basque Country (autonomous community)",2016
"Trofeo Edil C","Classic cycle races","Italy, Province of Parma",2016
"Van Merksteijn Fences Classic","Classic cycle races","Belgium, Zwevegem",2016
"Volta a Catalunya","Major one week stage races (cycling)","Catalonia",2016
"Volta a la Comunitat Valenciana","Race stage","Valencian Community",2016
"Vuelta a Navarra","Race stage","Navarre",2016
"Vuelta a San Juan","Race stage","Argentina, San Juan Province, Argentina",2016
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2016
"Alpes Isère Tour","Race stage","Rhône-Alpes",2017
"Arctic Race of Norway","Race stage","Norway",2017
"Baloise Ladies Tour","Race stage","Netherlands",2017
"Baltic Chain Tour","Race stage","Northern Europe",2017
"Bałtyk–Karkonosze Tour","Race stage","Poland",2017
"Chrono des Nations","Individual time trial","Vendée",2017
"Circuit de Wallonie","Classic cycle races","Wallonia",2017
"Clássica Aldeias do Xisto","Classic cycle races","Portugal",2017
"Clássica da Arrábida","Classic cycle races","Portugal",2017
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2017
"Czech Tour","Race stage","Czech Republic",2017
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2017
"Draai van de Kaai","Criterium","Netherlands, Roosendaal",2017
"Dubai Tour","Race stage","Dubai",2017
"Dwars door de Vlaamse Ardennen","Classic cycle races","East Flanders",2017
"Dwars door het Hageland","Classic cycle races","Flemish Brabant",2017
"East Bohemia Tour","Race stage","Czech Republic",2017
"Elfstedenronde","Classic cycle races","Belgium",2017
"Famenne Ardenne Classic","Classic cycle races","Belgium, Marche-en-Famenne",2017
"Five Rings of Moscow","Race stage","Moscow, Russia",2017
"GP Viborg","Classic cycle races","Viborg Municipality",2017
"Grand Prix Albert Fauville-Baulet","Classic cycle races","Belgium, Hainaut Province",2017
"Grand Prix Cycliste de Québec","Classic cycle races","Quebec, Quebec City",2017
"Grand Prix Cycliste de Saguenay","Race stage","Quebec",2017
"Gravel and Tar Classic","Classic cycle races","Manawatū-Whanganui, Manawatū–Whanganui",2017
"HTV Cup (cycling)","Race stage","Vietnam",2017
"Herald Sun Tour","Race stage","Victoria (state)",2017
"Hong Kong Challenge","Classic cycle races","Hong Kong",2017
"International Rhodes Grand Prix","Classic cycle races","Greece",2017
"International Tour of Rhodes","Race stage","Greece, Rhodes",2017
"Japan Cup (cycling)","Classic cycle races","Japan",2017
"Jelajah Malaysia","Race stage","Peninsular Malaysia",2017
"Joe Martin Stage Race","Race stage","Fayetteville, Arkansas",2017
"Kalmar Grand Prix","Classic cycle races","Kalmar, Sweden",2017
"Kreiz Breizh Elites","Race stage","Brittany, France",2017
"Memorial Grundmanna I Wizowskiego","Classic cycle races","Poland",2017
"Memoriał Romana Siemińskiego","Classic cycle races","Masovian Voivodeship, Poland",2017
"Midden–Brabant Poort Omloop","Classic cycle races","Gilze en Rijen, Netherlands",2017
"Oberösterreich Rundfahrt","Race stage","Upper Austria",2017
"Okolo Jižních Čech","Race stage","Czech Republic",2017
"Okolo Slovenska","Race stage","Slovakia",2017
"Omloop Eurometropool","Classic cycle races","Belgium, West Flanders",2017
"Presidential Cycling Tour of Turkey","Race stage","Turkey",2017
"Pro Ötztaler 5500","Classic cycle races","Austria",2017
"Ronda Pilipinas","Race stage","Philippines",2017
"Ronde de l'Oise","Race stage","Oise",2017
"Rutas de América","Race stage","Uruguay",2017
"Settimana Internazionale di Coppi e Bartali","Race stage","Emilia-Romagna",2017
"Szlakiem Grodów Piastowskich","Race stage","Lower Silesian Voivodeship",2017
"Szlakiem Walk Majora Hubala","Classic cycle races, Race stage","Poland",2017
"Tour Alsace","Race stage","Alsace, France",2017
"Tour International des Zibans","Race stage","Algeria, Biskra",2017
"Tour de Hokkaido","Race stage","Hokkaido, Japan",2017
"Tour de Hongrie","Race stage","Hungary",2017
"Tour de Korea","Race stage","South Korea",2017
"Tour de Kumano","Race stage","Japan, Kumano, Mie, Shingū, Wakayama, Taiji, Wakayama",2017
"Tour de Langkawi","Race stage","Peninsular Malaysia",2017
"Tour de Okinawa","Classic cycle races","Japan, Okinawa Prefecture",2017
"Tour de Pologne","Race stage","Poland",2017
"Tour de Romandie","Major one week stage races (cycling)","Romandy",2017
"Tour de Serbie","Race stage","Serbia",2017
"Tour de Singkarak","Race stage","Indonesia, West Sumatra",2017
"Tour de Taiwan","Race stage","Taiwan",2017
"Tour de Tochigi","Race stage","Japan, Tochigi Prefecture",2017
"Tour de Yorkshire","Race stage","Yorkshire",2017
"Tour des Alpes-Maritimes","Race stage","Provence-Alpes-Côte d'Azur, Var (department)",2017
"Tour du Cameroun","Race stage","Cameroon",2017
"Tour du Gévaudan Occitanie","Race stage","Languedoc-Roussillon",2017
"Tour du Jura (France)","Classic cycle races, Race stage","France",2017
"Tour du Sénégal","Race stage","Senegal",2017
"Tour of Austria","Race stage","Austria",2017
"Tour of Belgium","Race stage","Belgium",2017
"Tour of Britain Women","Race stage","Great Britain",2017
"Tour of Bulgaria","Race stage","Bulgaria",2017
"Tour of China","Race stage","China",2017
"Tour of Galicia","Race stage","Galicia (Spain)",2017
"Tour of Guangxi","Race stage","China, Guangxi",2017
"Tour of Hainan","Race stage","China, Hainan",2017
"Tour of Małopolska","Race stage","Lesser Poland Voivodeship, Poland",2017
"Tour of Oman","Race stage","Oman",2017
"Tour of Qinghai Lake","Race stage","China, Qinghai",2017
"Tour of Szeklerland","Race stage","Romania, Székely Land",2017
"Tour of Ukraine","Race stage","Ukraine",2017
"Tour of Xingtai","Race stage","China",2017
"Tour of the Alps","Race stage","Tyrol–South Tyrol–Trentino Euroregion",2017
"Tour of the Basque Country","Major one week stage races (cycling)","Basque Country (autonomous community)",2017
"Trofeo Edil C","Classic cycle races","Italy, Province of Parma",2017
"Van Merksteijn Fences Classic","Classic cycle races","Belgium, Zwevegem",2017
"Volta a Catalunya","Major one week stage races (cycling)","Catalonia",2017
"Volta a la Comunitat Valenciana","Race stage","Valencian Community",2017
"Vuelta a Navarra","Race stage","Navarre",2017
"Vuelta a San Juan","Race stage","Argentina, San Juan Province, Argentina",2017
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2017
"Alpes Isère Tour","Race stage","Rhône-Alpes",2018
"Antwerp Port Epic","Classic cycle races","Belgium",2018
"Arctic Race of Norway","Race stage","Norway",2018
"Baloise Ladies Tour","Race stage","Netherlands",2018
"Baltic Chain Tour","Race stage","Northern Europe",2018
"Bałtyk–Karkonosze Tour","Race stage","Poland",2018
"Chrono des Nations","Individual time trial","Vendée",2018
"Circuit de Wallonie","Classic cycle races","Wallonia",2018
"Clássica Aldeias do Xisto","Classic cycle races","Portugal",2018
"Clássica da Arrábida","Classic cycle races","Portugal",2018
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2018
"Czech Tour","Race stage","Czech Republic",2018
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2018
"Draai van de Kaai","Criterium","Netherlands, Roosendaal",2018
"Dubai Tour","Race stage","Dubai",2018
"Dwars door de Vlaamse Ardennen","Classic cycle races","East Flanders",2018
"Dwars door het Hageland","Classic cycle races","Flemish Brabant",2018
"Elfstedenronde","Classic cycle races","Belgium",2018
"Famenne Ardenne Classic","Classic cycle races","Belgium, Marche-en-Famenne",2018
"Five Rings of Moscow","Race stage","Moscow, Russia",2018
"Grand Prix Albert Fauville-Baulet","Classic cycle races","Belgium, Hainaut Province",2018
"Grand Prix Cycliste de Québec","Classic cycle races","Quebec, Quebec City",2018
"Grand Prix Velo Manavgat","Classic cycle races","Manavgat, Turkey",2018
"Gravel and Tar Classic","Classic cycle races","Manawatū-Whanganui, Manawatū–Whanganui",2018
"Gylne Gutuer","Classic cycle races","Norway",2018
"HTV Cup (cycling)","Race stage","Vietnam",2018
"Hafjell TT","Individual time trial","Norway",2018
"Herald Sun Tour","Race stage","Victoria (state)",2018
"International Rhodes Grand Prix","Classic cycle races","Greece",2018
"International Tour of Rhodes","Race stage","Greece, Rhodes",2018
"Japan Cup (cycling)","Classic cycle races","Japan",2018
"Joe Martin Stage Race","Race stage","Fayetteville, Arkansas",2018
"Kalmar Grand Prix","Classic cycle races","Kalmar, Sweden",2018
"Kreiz Breizh Elites","Race stage","Brittany, France",2018
"Lillehammer GP","Classic cycle races","Norway",2018
"MTB Himalaya","Cross-country cycling","Himachal Pradesh",2018
"Memorial Grundmanna I Wizowskiego","Classic cycle races","Poland",2018
"Memoriał Romana Siemińskiego","Classic cycle races","Masovian Voivodeship, Poland",2018
"Midden–Brabant Poort Omloop","Classic cycle races","Gilze en Rijen, Netherlands",2018
"Oberösterreich Rundfahrt","Race stage","Upper Austria",2018
"Oita Urban Classic","Classic cycle races","Ōita (city)",2018
"Okolo Jižních Čech","Race stage","Czech Republic",2018
"Okolo Slovenska","Race stage","Slovakia",2018
"Presidential Cycling Tour of Turkey","Race stage","Turkey",2018
"Ronda Pilipinas","Race stage","Philippines",2018
"Ronde de l'Oise","Race stage","Oise",2018
"Rutas de América","Race stage","Uruguay",2018
"Settimana Internazionale di Coppi e Bartali","Race stage","Emilia-Romagna",2018
"Szlakiem Grodów Piastowskich","Race stage","Lower Silesian Voivodeship",2018
"Szlakiem Walk Majora Hubala","Classic cycle races, Race stage","Poland",2018
"Tour Alsace","Race stage","Alsace, France",2018
"Tour International des Zibans","Race stage","Algeria, Biskra",2018
"Tour de Hokkaido","Race stage","Hokkaido, Japan",2018
"Tour de Hongrie","Race stage","Hungary",2018
